"data-index","data-id","data-issetup","data-maingroup","data-subgroup","data-type","data-vehicle","data-productcode","data-price-root","data-ordertypeid","data-pos","sourceURL","data-s","data-site","data-pro","data-cache","data-sv","data-name","data-id","data-price","data-brand","data-cate","data-box","data-pos","data-color","data-productstatus","data-premium","data-promotiontype","imageURL","percent","gift","rating","unit-sold"
"1","328814","0","22","42","1","1","0220042002806","19590000.0","2","1","/laptop/hp-240-g9-i5-ag2j7at","Nomal","1","3","True","webtgdd-26-86","Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT)","328814","15690000.0","HP","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/328814/hp-240-g9-i5-ag2j7at-170225-112744-210-600x600.jpg","-19%","Quà 2.240.000₫","5","• Đã bán 2,6k"
"2","329853","0","22","42","1","1","0220042002831","16990000.0","2","2","/laptop/dell-inspiron-15-3520-i5-n3520i5u165w11blufp","Nomal","1","3","True","webtgdd-26-86","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U165W11BLU-FP)","329853","16490000.0","Dell","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/329853/dell-inspiron-15-3520-i5-n3520i5u165w11blufp-thumb-638760093894941508-600x600.jpg","0%","Quà 150.000₫","5","• Đã bán 1,1k"
"3","321436","0","22","42","1","1","0220042002559","12990000.0","2","3","/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002)","321436","10790000.0","Acer","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/321436/acer-aspire-a315-44p-r9w8-r7-nxksjsv002-thumb-638754902935171241-600x600.jpg","-16%","Quà 2.090.000₫","4.9","• Đã bán 3,8k"
"4","322072","0","22","42","1","1","0220042002566","24990000.0","154","4","/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83GS000JVN)","322072","22290000.0","Lenovo","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/322072/lenovo-loq-gaming-15iax9-i5-83gs000jvn-thumb-638754851503076038-600x600.jpg","-10%","Quà 2.240.000₫","4.9","• Đã bán 4,2k"
"5","328906","0","22","42","1","1","0220042002808","13690000.0","154","5","/laptop/hp-240-g9-i3-ag2j5at","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (AG2J5AT)","328906","10990000.0","HP","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/328906/hp-240-g9-i3-ag2j5at-170225-112837-008-600x600.jpg","-19%","Quà 2.240.000₫","5","• Đã bán 1,5k"
"6","317712","0","22","42","1","1","0220042002465","11990000.0","154","6","/laptop/asus-vivobook-x1404za-i3-nk246w","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W)","317712","9990000.0","Asus","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/317712/asus-vivobook-x1404za-i3-nk246w-170225-104314-786-600x600.jpg","-16%","Quà 150.000₫","4.9","• Đã bán 5,6k"
"7","313333","0","22","42","1","1","0220042002387","15990000.0","2","7","/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn","Nomal","1","3","True","webtgdd-26-86","Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN)","313333","14690000.0","Lenovo","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/313333/lenovo-ideapad-slim-3-15iah8-i5-83er00evn-thumb-638754848306439358-600x600.jpg","-8%","Quà 2.240.000₫","4.9","• Đã bán 7,8k"
"8","314630","0","22","42","1","1","0220042002427","20490000.0","2","8","/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H/16GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.002)","314630","16690000.0","Acer","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/314630/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002-140225-101136-979-600x600.jpg","-18%","Quà 2.090.000₫","4.9","• Đã bán 5,6k"
"9","333430","0","22","42","1","1","0220042002984","20490000.0","2","9","/laptop/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/165Hz/Win11 (NH.QPGSV.004)","333430","19390000.0","Acer","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333430/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004-638774737367845195-600x600.jpg","-5%","Quà 2.990.000₫","5","• Đã bán 116"
"10","331362","0","22","42","1","1","0220042002850","17190000.0","2","10","/laptop/msi-modern-15-f13mg-i5-082vn","Nomal","1","3","True","webtgdd-26-86","Laptop MSI Modern 15 F13MG i5 1335U/16GB/512GB/Túi/Win11 (082VN)","331362","14690000.0","MSI","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331362/msi-modern-15-f13mg-i5-082vn-thumb-638754880042706463-600x600.jpg","-14%","Quà 2.240.000₫","5","• Đã bán 47"
