"data-id","Công nghệ CPU","Số nhân","Số luồng","Tốc độ CPU","Tốc độ tối đa","RAM","Loại RAM","Tốc độ Bus RAM","Hỗ trợ RAM tối đa","Ổ cứng","Màn hình","Độ phân giải","Tần số quét","Độ phủ màu","Công nghệ màn hình","Card màn hình","Công nghệ âm thanh","Cổng giao tiếp","Kết nối không dây","Webcam","Đèn bàn phím","Kích thước","Chất liệu","Thông tin Pin","Hệ điều hành","Thời điểm ra mắt","Khe đọc thẻ nhớ","Tính năng khác","Tản nhiệt","Màn hình cảm ứng","NPU","Hiệu năng xử lý AI (TOPS)"
"328814","Intel Core i5 Alder Lake - 1235U","10","12","1.3GHz","Turbo Boost 4.4 GHz","16 GB","DDR4 2 khe (1 khe 16 GB + 1 khe rời)","3200 MHz","32 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""","Full HD (1920 x 1080)","60Hz","45% NTSC","Tấm nền IPS Chống chói Anti Glare 250 nits","Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)","Realtek High Definition Audio","USB Type-C 2 x USB 3.2 HDMI 1 x Headphone/microphone combo LAN (RJ45)","Wi-Fi 6 (802.11ax) Bluetooth 5.3","HD webcam","Không có đèn","Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - 1.47 kg","Vỏ nhựa","3-cell, 41Wh","Windows 11 Home SL","2024",,,,,,
"329853","Intel Core i5 Alder Lake - 1235U","10","12","1.3GHz","Turbo Boost 4.4 GHz","16 GB","DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)","2666 MHz","16 GB","512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","120Hz",,"Chống chói Anti Glare LED Backlit 250 nits WVA","Card tích hợp - Intel Iris Xe Graphics","Realtek Audio","Jack tai nghe 3.5 mm 1 x USB 2.0 2 x USB 3.2 HDMI","Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac","HD webcam","Không có đèn","Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg","Vỏ nhựa","3-cell, 41Wh","Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn","2024","SD",,,,,
"321436","AMD Ryzen 7 - 5700U","8","16","1.8GHz","Turbo Boost 4.3 GHz","8 GB","DDR4 2 khe (1 khe 8 GB + 1 khe rời)","3200 MHz","32 GB","512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","60Hz","45% NTSC","Tấm nền IPS Acer ComfyView","Card tích hợp - AMD Radeon Graphics","Acer Purified Voice","LAN (RJ45) Jack tai nghe 3.5 mm 3 x USB 3.2 HDMI 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6 (802.11ax) Bluetooth 5.1","HD webcam","Không có đèn","Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg","Vỏ nhựa","3-cell, 50Wh","Windows 11 Home SL","2023",,,,,,
"322072","Intel Core i5 Alder Lake - 12450HX","8","12","Hãng không công bố","Turbo Boost 4.4 GHz","16 GB","DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB)","4800 MHz","32 GB","512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng","15.6""","Full HD (1920 x 1080)","144Hz","100% sRGB","Low Blue Light G-Sync Tấm nền IPS Chống chói Anti Glare Độ sáng 300 nits","Card rời - NVIDIA GeForce RTX 3050, 6 GB","Nahimic Audio","LAN (RJ45) Jack tai nghe 3.5 mm 3 x USB 3.2 HDMI 1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)","Bluetooth 5.2 Wi-Fi 6 (802.11ax)","HD webcam","Đơn sắc - Màu trắng","Dài 359.86 mm - Rộng 258.7 mm - Dày 23.9 mm - 2.38 kg","Vỏ nhựa","60 Wh","Windows 11 Home SL","2024",,"TPM 2.0 AI Chip LA1 Bản lề mở 180 độ Công tắc khóa camera",,,,
"328906","Intel Core i3 Alder Lake - 1215U","6","8","1.2GHz","Turbo Boost 4.4 GHz","8 GB","DDR4 2 khe (1 khe 8 GB + 1 khe rời)","3200 MHz","32 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""","Full HD (1920 x 1080)","60Hz","45% NTSC","Tấm nền IPS Chống chói Anti Glare 250 nits","Card tích hợp - Intel UHD Graphics","Realtek High Definition Audio","USB Type-C 2 x USB 3.2 HDMI 1 x Headphone/microphone combo LAN (RJ45)","Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac","HD webcam","Không có đèn","Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - 1.42 kg","Vỏ nhựa","3-cell, 41Wh","Windows 11 Home SL","2024",,,,,,
"317712","Intel Core i3 Alder Lake - 1215U","6","8","1.2GHz","Turbo Boost 4.4 GHz","8 GB","DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống)","2933 MHz","16 GB","512 GB SSD NVMe PCIe","14""","Full HD (1920 x 1080)","60Hz","45% NTSC","Chống chói Anti Glare LED Backlit 250 nits","Card tích hợp - Intel UHD Graphics","SonicMaster audio","USB Type-C 1 x USB 2.0 Jack tai nghe 3.5 mm 2 x USB 3.2 HDMI","Wi-Fi 6E (802.11ax) Bluetooth 5.3","HD webcam","Không có đèn","Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg","Vỏ nhựa","3-cell, 42Wh","Windows 11 Home SL","2023",,"Độ bền chuẩn quân đội MIL STD 810H Bản lề mở 180 độ Bảo mật vân tay Công tắc khóa camera",,,,
"313333","Intel Core i5 Alder Lake - 12450H","8","12","2GHz","Turbo Boost 4.4 GHz","16 GB","LPDDR5 (Onboard)","4800 MHz","Không hỗ trợ nâng cấp","512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""","Full HD (1920 x 1080)","60Hz",,"Low Blue Light Tấm nền IPS Chống chói Anti Glare Độ sáng 300 nits","Card tích hợp - Intel UHD Graphics","Dolby Audio","Jack tai nghe 3.5 mm 2 x USB 3.2 HDMI 1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)","Wi-Fi 6 (802.11ax) Bluetooth 5.1","Full HD Webcam","Không có đèn","Dài 359.3 mm - Rộng 235 mm - Dày 17.9 mm - 1.62 kg","Vỏ nhựa","47 Wh","Windows 11 Home SL","2023","SD","TPM 2.0 Độ bền chuẩn quân đội MIL STD 810H Bản lề mở 180 độ Bảo mật vân tay Công tắc khóa camera",,,,
"314630","Intel Core i5 Raptor Lake - 13420H","8","12","2.1GHz","Turbo Boost 4.6 GHz","16 GB","DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)","3200 MHz","32 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng","15.6""","Full HD (1920 x 1080)","60Hz",,"Tấm nền IPS Acer ComfyView","Card rời - NVIDIA GeForce RTX 2050, 4 GB","Acer Purified Voice","LAN (RJ45) Jack tai nghe 3.5 mm 2 x USB Type-A HDMI 1 x USB Type-C (hỗ trợ USB, Thunderbolt 4)","Wi-Fi 6E (802.11ax) Bluetooth 5.1","Full HD Webcam","Đơn sắc - Màu trắng","Dài 361 mm - Rộng 237 mm - Dày 17.9 mm - 1.7 kg","Vỏ nhựa - nắp lưng bằng kim loại","3-cell, 50Wh","Windows 11 Home SL","2023",,"Bảo mật vân tay",,,,
"333430","AMD Ryzen 5 - 6600H","6","12","3.3GHz","Turbo Boost 4.5 GHz","16 GB","DDR5 2 khe (1 khe 16 GB + 1 khe rời)","4800 MHz","96 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","15.6""","Full HD (1920 x 1080)","165 Hz","45% NTSC","Tấm nền IPS Acer ComfyView","Card rời - NVIDIA GeForce RTX 2050, 4 GB","Spatial Audio Acer Purified Voice Acer TrueHarmony DTS:X ULTRA","LAN (RJ45) Jack tai nghe 3.5 mm 3 x USB 3.2 HDMI 1 x USB Type-C USB 4 (hỗ trợ DisplayPort)",,"HD webcam","Có","Dài 362.3 mm - Rộng 239.89 mm - Dày 23.5 mm - 2.1 kg","Vỏ nhựa","4-cell, 57Wh","Windows 11 Home SL",,,,,,,
"331362","Intel Core i5 Raptor Lake - 1335U","10","12","1.3GHz","Turbo Boost 4.6 GHz","16 GB","DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)","3200 MHz","64 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","15.6""","Full HD (1920 x 1080)","60Hz","45% NTSC","Tấm nền IPS Chống chói Anti Glare","Card tích hợp - Intel Iris Xe Graphics","Hi-Res Audio","LAN (RJ45) 3 x USB 3.2 HDMI 1 x Headphone/microphone combo 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)","Wi-Fi 6E (802.11ax) Bluetooth 5.3","HD webcam","Đơn sắc - Màu trắng","Dài 358.9 mm - Rộng 235.9 mm - Dày 19.9 mm - 1.7 kg","Vỏ nhựa","3-cell, 45Wh","Windows 11 Home SL","2024","Micro SD","Bản lề mở 180 độ Công tắc khóa camera",,,,
